httpRequest.latency,httpRequest.protocol,httpRequest.referer,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,"'labels.""goog-managed-by""",labels.instanceId,labels.scaling_reason,logName,protoPayload.methodName,protoPayload.resourceName,"'protoPayload.response.@type",protoPayload.response.apiVersion,protoPayload.response.kind,"'protoPayload.response.metadata.annotations.""autoscaling.knative.dev/maxScale""","'protoPayload.response.metadata.annotations.""autoscaling.knative.dev/minScale""","'protoPayload.response.metadata.annotations.""run.googleapis.com/cpu-throttling""","'protoPayload.response.metadata.annotations.""run.googleapis.com/execution-environment""","'protoPayload.response.metadata.annotations.""run.googleapis.com/ingress""","'protoPayload.response.metadata.annotations.""run.googleapis.com/operation-id""","'protoPayload.response.metadata.annotations.""run.googleapis.com/sessionAffinity""","'protoPayload.response.metadata.annotations.""run.googleapis.com/startup-cpu-boost""","'protoPayload.response.metadata.annotations.""serving.knative.dev/creator""",protoPayload.response.metadata.creationTimestamp,protoPayload.response.metadata.generation,"'protoPayload.response.metadata.labels.""cloud.googleapis.com/location""","'protoPayload.response.metadata.labels.""goog-managed-by""","'protoPayload.response.metadata.labels.""run.googleapis.com/startupProbeType""","'protoPayload.response.metadata.labels.""serving.knative.dev/configuration""","'protoPayload.response.metadata.labels.""serving.knative.dev/configurationGeneration""","'protoPayload.response.metadata.labels.""serving.knative.dev/route""","'protoPayload.response.metadata.labels.""serving.knative.dev/service""","'protoPayload.response.metadata.labels.""serving.knative.dev/serviceUid""",protoPayload.response.metadata.name,protoPayload.response.metadata.namespace,protoPayload.response.metadata.ownerReferences,protoPayload.response.metadata.resourceVersion,protoPayload.response.metadata.selfLink,protoPayload.response.metadata.uid,protoPayload.response.spec.containerConcurrency,protoPayload.response.spec.containers,protoPayload.response.spec.serviceAccountName,protoPayload.response.spec.timeoutSeconds,protoPayload.response.status.conditions,protoPayload.response.status.containerStatuses,protoPayload.response.status.imageDigest,protoPayload.response.status.logUrl,protoPayload.response.status.observedGeneration,protoPayload.serviceName,protoPayload.status.message,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,textPayload,timestamp,trace,traceSampled
0.049270767s,HTTP/1.1,,66.102.6.161,GET,1306,"'https://t-2616093887---sfaisolutions-frontend-gmjes64qia-uc.a.run.app/wp-admin/setup-config.php",3731,34.143.73.2,404,Google,6911cdd0000a52207c5d625a,"'firebase-app-hosting",00147782969c75b33d60536dc93bc122813a3a8b28e26a05f18691878933e15d5aff5ebb684a3cca9915eb4ace1d6dbebf03d4a886daf1597624c07d38f5598adaf8e7a72cce4370319b9c0c784e,,"'projects/cocreator-d0nbh/logs/run.googleapis.com%2Frequests",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'2025-11-10T11:34:40.972312070Z","'sfaisolutions-frontend","'us-central1","'cocreator-d0nbh","'sfaisolutions-frontend-build-2025-11-10-002","'sfaisolutions-frontend",cloud_run_revision,WARNING,33ecd0a17ca75d70,,"'2025-11-10T11:34:40.619492Z","'projects/cocreator-d0nbh/traces/4a8b6e21a35004c722ba858ec8fa46bf",true
,,,,,,,,,,,6911cdbd000ce1676426ab5b,"'firebase-app-hosting",00147782969c75b33d60536dc93bc122813a3a8b28e26a05f18691878933e15d5aff5ebb684a3cca9915eb4ace1d6dbebf03d4a886daf1597624c07d38f5598adaf8e7a72cce4370319b9c0c784e,,"'projects/cocreator-d0nbh/logs/run.googleapis.com%2Fstdout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'2025-11-10T11:34:22.043741868Z","'sfaisolutions-frontend","'us-central1","'cocreator-d0nbh","'sfaisolutions-frontend-build-2025-11-10-002","'sfaisolutions-frontend",cloud_run_revision,,," ✓ Ready in 160ms","'2025-11-10T11:34:21.844135Z",,
,,,,,,,,,,,6911cdbd000ac24a49085b0f,"'firebase-app-hosting",00147782969c75b33d60536dc93bc122813a3a8b28e26a05f18691878933e15d5aff5ebb684a3cca9915eb4ace1d6dbebf03d4a886daf1597624c07d38f5598adaf8e7a72cce4370319b9c0c784e,,"'projects/cocreator-d0nbh/logs/run.googleapis.com%2Fstdout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'2025-11-10T11:34:22.043741868Z","'sfaisolutions-frontend","'us-central1","'cocreator-d0nbh","'sfaisolutions-frontend-build-2025-11-10-002","'sfaisolutions-frontend",cloud_run_revision,,," ✓ Starting...","'2025-11-10T11:34:21.705098Z",,
,,,,,,,,,,,6911cdbd000abfbfee7c18ba,"'firebase-app-hosting",00147782969c75b33d60536dc93bc122813a3a8b28e26a05f18691878933e15d5aff5ebb684a3cca9915eb4ace1d6dbebf03d4a886daf1597624c07d38f5598adaf8e7a72cce4370319b9c0c784e,,"'projects/cocreator-d0nbh/logs/run.googleapis.com%2Fstdout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'2025-11-10T11:34:22.043741868Z","'sfaisolutions-frontend","'us-central1","'cocreator-d0nbh","'sfaisolutions-frontend-build-2025-11-10-002","'sfaisolutions-frontend",cloud_run_revision,,,"'   - Network:      http://0.0.0.0:8080","'2025-11-10T11:34:21.704447Z",,
,,,,,,,,,,,6911cdbd000abef04c689a66,"'firebase-app-hosting",00147782969c75b33d60536dc93bc122813a3a8b28e26a05f18691878933e15d5aff5ebb684a3cca9915eb4ace1d6dbebf03d4a886daf1597624c07d38f5598adaf8e7a72cce4370319b9c0c784e,,"'projects/cocreator-d0nbh/logs/run.googleapis.com%2Fstdout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'2025-11-10T11:34:22.043741868Z","'sfaisolutions-frontend","'us-central1","'cocreator-d0nbh","'sfaisolutions-frontend-build-2025-11-10-002","'sfaisolutions-frontend",cloud_run_revision,,,"'   - Local:        http://localhost:8080","'2025-11-10T11:34:21.704240Z",,
,,,,,,,,,,,6911cdbd000abd7afc03b1a8,"'firebase-app-hosting",00147782969c75b33d60536dc93bc122813a3a8b28e26a05f18691878933e15d5aff5ebb684a3cca9915eb4ace1d6dbebf03d4a886daf1597624c07d38f5598adaf8e7a72cce4370319b9c0c784e,,"'projects/cocreator-d0nbh/logs/run.googleapis.com%2Fstdout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'2025-11-10T11:34:21.709855121Z","'sfaisolutions-frontend","'us-central1","'cocreator-d0nbh","'sfaisolutions-frontend-build-2025-11-10-002","'sfaisolutions-frontend",cloud_run_revision,,,"   ▲ Next.js 15.3.3","'2025-11-10T11:34:21.703866Z",,
,,,,,,,,,,,6911cdbd000aacb4f877b64d,"'firebase-app-hosting",00147782969c75b33d60536dc93bc122813a3a8b28e26a05f18691878933e15d5aff5ebb684a3cca9915eb4ace1d6dbebf03d4a886daf1597624c07d38f5598adaf8e7a72cce4370319b9c0c784e,,"'projects/cocreator-d0nbh/logs/run.googleapis.com%2Fvarlog%2Fsystem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'2025-11-10T11:34:21.940708811Z","'sfaisolutions-frontend","'us-central1","'cocreator-d0nbh","'sfaisolutions-frontend-build-2025-11-10-002","'sfaisolutions-frontend",cloud_run_revision,INFO,,"'Default STARTUP TCP probe succeeded after 1 attempt for container ""sfaisolutions-frontend-1"" on port 8080.","'2025-11-10T11:34:21.699572Z",,
,,,,,,,,,,,6911cdbc00092760c5e5bb63,"'firebase-app-hosting",00147782969c75b33d60536dc93bc122813a3a8b28e26a05f18691878933e15d5aff5ebb684a3cca9915eb4ace1d6dbebf03d4a886daf1597624c07d38f5598adaf8e7a72cce4370319b9c0c784e,AUTOSCALING,"'projects/cocreator-d0nbh/logs/run.googleapis.com%2Fvarlog%2Fsystem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'2025-11-10T11:34:20.607241122Z","'sfaisolutions-frontend","'us-central1","'cocreator-d0nbh","'sfaisolutions-frontend-build-2025-11-10-002","'sfaisolutions-frontend",cloud_run_revision,INFO,,"'Starting new instance. Reason: AUTOSCALING - Instance started due to configured scaling factors (e.g. CPU utilization, request throughput, etc.) or no existing capacity for current traffic.","'2025-11-10T11:34:20.599904Z",,
1.581527071s,HTTP/1.1,,74.125.215.37,GET,1313,"'https://t-2616093887---sfaisolutions-frontend-gmjes64qia-uc.a.run.app/wordpress/wp-admin/setup-config.php",3738,34.143.79.2,404,Google,6911cdbe0004ce706631b20d,"'firebase-app-hosting",00147782969c75b33d60536dc93bc122813a3a8b28e26a05f18691878933e15d5aff5ebb684a3cca9915eb4ace1d6dbebf03d4a886daf1597624c07d38f5598adaf8e7a72cce4370319b9c0c784e,,"'projects/cocreator-d0nbh/logs/run.googleapis.com%2Frequests",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'2025-11-10T11:34:22.321440392Z","'sfaisolutions-frontend","'us-central1","'cocreator-d0nbh","'sfaisolutions-frontend-build-2025-11-10-002","'sfaisolutions-frontend",cloud_run_revision,WARNING,9a61dc425d215db1,,"'2025-11-10T11:34:20.563550Z","'projects/cocreator-d0nbh/traces/e3a9000d1a72ed28c5a4e165f3e7a1de",true
,,,,,,,,,,,6911c81d00081cd269f52689,"'firebase-app-hosting",0014778296255d6ca17a8b3daad242c4f7f3bfcbc35ccda455c1884764ad67b8e0c39242f5806a0581469862bfd8de029b6ab1a0c123ac84019535c0ab11be5ec5fdb20df3d14b005ca9acb40f85,,"'projects/cocreator-d0nbh/logs/run.googleapis.com%2Fstdout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'2025-11-10T11:10:21.702905159Z","'sfaisolutions-frontend","'us-central1","'cocreator-d0nbh","'sfaisolutions-frontend-build-2025-11-10-002","'sfaisolutions-frontend",cloud_run_revision,,," ✓ Ready in 187ms","'2025-11-10T11:10:21.531666Z",,
